cod_modelo_color,cod_color_code,des_color_specification_esp,des_agrup_color_eng,des_sex,des_age,des_line,des_fabric,des_product_category,des_product_aggregated_family,des_product_family,des_product_type,des_filename,cod_outfit,image_embedding
57062516-99,99,NEGRO,GREY,Female,Adult,SHE,T-TRICOT,Tops,Tops,Tops,Top,datathon/images/2023_57062516_99.jpg,[6214],[0.07175135 1.7879449  0.0106863  ... 0.04167901 0.10204001 0.1274374 ]
57012888-12,12,AMARILLO,YELLOW,Female,Adult,SHE,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57012888_12.jpg,[3569],[0.04546994 1.5594207  0.04466447 ... 0.         0.10025328 0.05301481]
57084018-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Belts and Ties,Belt,datathon/images/2023_57084018_99.jpg,"[6718, 7155, 7156, 7079, 5950, 3098]",[0.33059907 0.12742151 0.13827561 ... 0.11196725 0.0763077  0.14037675]
57085800-01,01,BLANCO,WHITE,Female,Adult,SHE,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2023_57085800_01.jpg,"[5354, 7440, 7655, 4074, 7442, 3811, 4254, 6386, 6461, 6767, 2671, 3142, 3242, 3551, 4524, 5352, 6025, 6836, 7162]",[0.03348452 1.3908947  0.04241573 ... 0.19967426 0.29901335 0.8220961 ]
57004787-07,07,ARENA,WHITE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Crossbody bag,datathon/images/2023_57004787_07.jpg,"[5135, 4083, 4084, 2939, 2954, 3087, 3453, 3458, 3557, 3770, 4565, 5731, 5913, 5966, 6208, 6212, 6287, 6361, 6450, 6760, 7029, 7092, 7547, 7559, 7569, 3102, 5420, 7719, 6905, 5378]",[0.01045121 0.00646196 0.29360333 ... 0.11352063 0.10035425 0.14185818]
57083821-99,99,NEGRO,GREY,Female,Adult,SHE,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57083821_99.jpg,[7069],[0.41871592 0.9249928  0.01368579 ... 0.32769787 0.5820343  0.16918336]
57049096-65,65,MORADO,PURPLE,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Jumpsuit,Jumpsuit,datathon/images/2023_57049096_65.jpg,[5485],[0.57350594 1.1989362  0.03116515 ... 0.48855427 0.29925373 1.088326  ]
57099098-05,05,CRUDO,WHITE,Female,Adult,SHE,T-TRICOT,Tops,Tops,Tops,Top,datathon/images/2023_57099098_05.jpg,"[7360, 7797]","[1.6540289e-05 1.9832504e+00 1.2785144e-01 ... 6.3134503e-01 8.3264753e-02
 1.3218038e-01]"
57067753-TO,TO,TEJANO OSCURO,BLUE,Female,Adult,SHE,J-JEANS,Outerwear,Jackets and Blazers,Jackets,Jacket,datathon/images/2023_57067753_TO.jpg,"[6093, 6525, 6526]",[0.00473181 1.6547542  0.12956554 ... 0.03793831 0.08129103 0.48081663]
57079104-37,37,KHAKI,BROWN,Female,Adult,SHE,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57079104_37.jpg,[6962],[0.37331858 2.836522   0.10488641 ... 0.3431156  0.36063546 1.0380912 ]
57057741-30,30,MARRON,BROWN,Female,Adult,SHE,L-PIEL,Outerwear,Coats and Parkas,Coats,Coat,datathon/images/2023_57057741_30.jpg,[6088],[0.07347298 1.1869209  0.0939178  ... 0.13685949 0.13888663 0.2013669 ]
43031153-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Belts and Ties,Belt,datathon/images/2019_43031153_99.jpg,[831],[0.16578643 0.00278146 0.17640147 ... 0.37139842 0.10412205 0.57987905]
53070567-02,02,OFFWHITE,WHITE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2019_53070567_02.jpg,"[1967, 3754, 1595, 7187]",[0.24761996 0.12824284 0.6275462  ... 0.5845771  0.0567138  1.7171063 ]
53060575-52,52,AZUL,BLUE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Kerchief,datathon/images/2019_53060575_52.jpg,"[1363, 1758, 1886, 3139]","[7.0231146e-01 1.3532835e-01 5.2605162e-04 ... 1.6688305e-01 9.0415902e-02
 1.8197155e-01]"
53050579-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Shoes,datathon/images/2019_53050579_99.jpg,"[1538, 3076, 3742, 3060, 3066, 6808]",[0.16952957 0.17499144 0.88717365 ... 0.6344001  0.1959812  0.03104591]
53030593-52,52,AZUL,BLUE,Female,Adult,SHE,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_53030593_52.jpg,[1160],"[1.3846430e-03 3.3462045e+00 3.5925505e-01 ... 1.7696563e+00 1.1115001e-02
 1.0842892e+00]"
53030547-05,05,CRUDO,WHITE,Female,Adult,SHE,J-JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2019_53030547_05.jpg,"[1145, 841, 842]",[0.0345717  0.71784306 0.03272507 ... 2.6239774  0.21241361 0.20657378]
51030638-45,45,AGUA,GREEN,Female,Adult,SHE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_51030638_45.jpg,[144],[0.02255569 4.0241323  0.1296435  ... 1.2511373  0.         0.8467405 ]
53040741-56,56,NAVY,BLUE,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53040741_56.jpg,[1399],[0.3348823  2.7326913  0.26220796 ... 0.60332876 0.03013824 1.0881429 ]
53073709-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,Outerwear,Jackets and Blazers,Blazers,Blazer,datathon/images/2019_53073709_99.jpg,"[508, 1028, 3290, 1360, 2074, 46, 887, 1548, 7767]",[0.16449365 3.0215113  0.27535793 ... 0.72186655 0.04668406 1.0260037 ]
53080599-37,37,KHAKI,BROWN,Female,Adult,SHE,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_53080599_37.jpg,[2186],[0.23793064 0.88324076 0.00127777 ... 0.53772837 0.04791939 0.55489725]
53003725-99,99,NEGRO,GREY,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53003725_99.jpg,"[685, 2189, 285]",[0.01697824 2.7718866  0.13839383 ... 0.94042873 0.28890207 0.30111718]
53053040-99,99,NEGRO,GREY,Female,Adult,SHE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_53053040_99.jpg,[1646],"[1.0585026e-03 4.5837340e+00 9.6735381e-02 ... 1.4489815e+00 7.2021973e-03
 1.3015567e-01]"
53090974-02,02,OFFWHITE,WHITE,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53090974_02.jpg,[2447],[0.19784635 1.6434609  0.01051933 ... 0.32733843 0.21991606 0.5156464 ]
53060987-02,02,OFFWHITE,WHITE,Female,Adult,SHE,T-TRICOT,Tops,Tops,Tops,Top,datathon/images/2019_53060987_02.jpg,[1839],[0.0794373  0.79274595 0.10473278 ... 1.1083727  0.16129081 0.09075499]
53063750-01,01,BLANCO,WHITE,Female,Adult,SHE,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_53063750_01.jpg,[1888],[0.         2.4345646  0.0259301  ... 1.3441508  0.04915261 0.40565795]
53063755-TU,TU,TEJANO GRIS OSCURO,GREY,Female,Adult,SHE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2019_53063755_TU.jpg,"[705, 1658, 1894]",[0.29178497 1.8150826  0.05403452 ... 0.16297115 0.22584672 0.55128133]
53015744-09,09,CAMEL,WHITE,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53015744_09.jpg,"[52, 920]",[0.06428069 2.8312292  0.04030661 ... 0.3830218  0.04491836 0.94579923]
51015740-02,02,OFFWHITE,WHITE,Female,Adult,SHE,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2019_51015740_02.jpg,[84],[0.13656786 4.5093756  0.18219708 ... 0.43041602 0.25119606 1.0905614 ]
53085778-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53085778_99.jpg,"[1673, 1525, 2352]",[0.01160523 3.179883   0.127378   ... 0.4887391  0.1046902  1.0150412 ]
53005773-96,96,GRIS OSCURO VIGORE,GREY,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53005773_96.jpg,"[774, 1208]","[3.5334110e-02 3.1782761e+00 2.5849612e-03 ... 2.3405915e-01 1.8708719e-01
 5.4664499e-01]"
57097878-43,43,VERDE,GREEN,Female,Adult,SHE,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_57097878_43.jpg,[7757],[0.11857658 2.989923   0.34223467 ... 0.27898607 0.17363004 0.60617197]
57019206-81,81,ROSA PASTEL,PINK,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57019206_81.jpg,[3937],[0.06210386 3.1397116  0.08645916 ... 0.84110254 0.12070663 0.37919158]
57067887-99,99,NEGRO,GREY,Female,Adult,SHE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_57067887_99.jpg,"[7767, 6543]",[0.14717339 2.640136   0.         ... 0.15167013 0.1861854  1.0984071 ]
57007710-99,99,NEGRO,GREY,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57007710_99.jpg,[3201],[0.09804213 2.8659294  0.00772728 ... 0.22363777 0.18717791 0.9414078 ]
57059203-85,85,ROSA,PINK,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57059203_85.jpg,[6166],[0.04926379 2.396779   0.07770657 ... 0.46898678 0.08688987 0.4254751 ]
57007709-99,99,NEGRO,GREY,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57007709_99.jpg,[3199],[0.07675168 3.7129576  0.06556913 ... 0.5338968  0.33010375 1.2086663 ]
57057700-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Shoes,datathon/images/2019_57057700_99.jpg,"[3879, 1005, 4209, 4795, 6948, 4272, 3885, 3889, 6122, 6539, 7759, 7677, 3179, 3877, 2342, 3154, 3178, 3271, 4274, 5406, 6171, 6593, 5937, 3881, 5451, 6933, 1931, 6126, 7345, 6400, 5483, 951, 3310, 6116, 6059, 3070]",[0.006532   0.00403908 0.86700267 ... 0.59226346 0.17097811 0.71559256]
47010422-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2023_47010422_99.jpg,[4973],[0.         2.502168   0.07588028 ... 0.00534891 0.59857696 1.2223226 ]
47091297-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2023_47091297_99.jpg,"[5666, 4971]",[0.19341563 0.164172   1.0099534  ... 0.06295662 0.20855898 0.01662062]
57090027-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Gadgets,Umbrella,datathon/images/2023_57090027_99.jpg,[7385],[0.01060307 0.41903403 0.0206084  ... 0.6765704  0.243039   0.68810797]
57050034-52,52,AZUL,BLUE,Female,Adult,SHE,J-JEANS,Tops,Tops,Tops,Top,datathon/images/2023_57050034_52.jpg,"[5537, 5536, 5578]",[0.0854334  0.55297357 0.00454052 ... 0.00464509 0.10939011 0.15684652]
57022001-17,17,CARAMELO,YELLOW,Female,Adult,SHE,P-PLANA,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2023_57022001_17.jpg,[4031],[0.         2.8034422  0.02773884 ... 0.00577703 0.07960362 1.6088852 ]
57002518-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Citybag,datathon/images/2023_57002518_99.jpg,"[7049, 7531, 5852, 5853, 5888, 4126, 3014, 5284, 7160, 2788, 6783, 7161, 7515, 5999, 6000, 6838, 6839, 3018, 7153, 7579, 4127, 4130, 4613, 4166, 4799, 6383, 6899, 3710, 5141, 6633, 2966, 3006, 4593, 5274, 6006, 6142, 7452]",[0.08101753 0.2463694  0.39084747 ... 0.17636457 0.906656   0.03624022]
57020256-88,88,FUCSIA,PINK,Female,Adult,SHE,K-CIRCULAR,Tops,Tops,Tops,Top,datathon/images/2023_57020256_88.jpg,[3999],[0.44046637 0.7163692  0.03117147 ... 0.02248617 0.10805633 0.13234153]
57020151-07,07,ARENA,WHITE,Female,Adult,SHE,J-JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2023_57020151_07.jpg,"[4884, 3980, 5657, 3386]",[0.         0.9149423  0.06073217 ... 0.         0.18631119 0.6723023 ]
57000374-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2023_57000374_99.jpg,"[2679, 6869]",[0.         2.6344426  0.         ... 0.         0.06916592 0.24737844]
57072516-99,99,NEGRO,GREY,Female,Adult,SHE,T-TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57072516_99.jpg,[6634],[0.5496794  1.7700404  0.03972432 ... 0.0194819  0.22019844 0.37735102]
47028651-99,99,NEGRO,GREY,Female,Adult,SHE,K-CIRCULAR,"Accesories, Swim and Intimate",Swim and intimate,Swimwear,Bikini top,datathon/images/2023_47028651_99.jpg,[5546],[0.         0.50280243 0.         ... 0.3447223  1.0669827  0.07063582]
57094012-91,91,GRIS CLARO VIGORE,GREY,Female,Adult,SHE,P-PLANA,Outerwear,Jackets and Blazers,Vest,Vest,datathon/images/2023_57094012_91.jpg,"[4556, 7480]",[0.0811269  1.6553115  0.10196289 ... 0.         0.16642296 0.48981512]
57092003-CU,CU,CUERO,BROWN,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Wallets & cases,Wallet,datathon/images/2023_57092003_CU.jpg,"[7400, 3815]",[0.03027246 0.18927866 0.04464226 ... 0.01820427 0.43950427 0.25567263]
57054422-08,08,BEIGE,WHITE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Shoulder bag,datathon/images/2023_57054422_08.jpg,"[7663, 4154, 5195, 4755, 6830, 7675, 5500, 6164, 4758, 6510, 2877, 4133, 5899, 3245, 3261, 3340, 3709, 5409, 5497]",[0.00533991 0.0533247  0.30565232 ... 0.04072254 0.05275891 0.04321174]
57001067-02,02,OFFWHITE,WHITE,Female,Adult,SHE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2023_57001067_02.jpg,[2744],[0.01789211 1.2880015  0.3806009  ... 1.6355733  0.04280914 0.56429327]
57023275-98,98,VISON,GREY,Female,Adult,SHE,C-COMPLEMENTOS,Beauty,Fragance,Fragances,Bodymist,datathon/images/2023_57023275_98.jpg,[4064],[0.03152031 0.01744965 0.         ... 0.42451736 0.38542414 0.07854669]
57078266-TM,TM,TEJANO MEDIO,BLUE,Female,Adult,SHE,J-JEANS,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2023_57078266_TM.jpg,"[6756, 7244, 3205]",[0.05107885 0.39897844 0.0097998  ... 0.15585051 0.30301023 1.0205195 ]
57007734-08,08,BEIGE,WHITE,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57007734_08.jpg,[3209],[0.1830956  2.7837029  0.1185568  ... 0.3603237  0.22718278 0.7794988 ]
57007739-09,09,CAMEL,WHITE,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57007739_09.jpg,"[6495, 3020, 3213]","[3.59610398e-03 3.67538142e+00 5.61521798e-02 ... 3.54959846e-01
 1.18467994e-01 3.52799624e-01]"
57073821-70,70,ROJO,RED,Female,Adult,SHE,P-PLANA,Tops,Tops,Tops,Top,datathon/images/2023_57073821_70.jpg,"[6263, 4547, 6692]",[0.05161444 0.7403717  0.9251862  ... 2.0812585  0.6479711  0.02119943]
57057740-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Beanie,datathon/images/2023_57057740_99.jpg,[6087],[0.00501488 1.4996163  0.05075052 ... 1.2091314  0.0295705  0.08257893]
57096029-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,Outerwear,Coats and Parkas,Coats,Coat,datathon/images/2023_57096029_99.jpg,"[7664, 7239, 4230, 4231, 4234, 5347, 5380, 5529, 5942, 5944, 7144, 7576, 7577, 7687, 7744]",[0.0555107  2.510677   0.3752024  ... 0.0380123  0.26056632 0.27937463]
53030594-08,08,BEIGE,WHITE,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_53030594_08.jpg,"[1, 445, 620, 969, 1353, 1404, 1617, 2366, 20, 23, 99, 107, 221, 266, 270, 273, 275, 380, 495, 608, 647, 648, 666, 799, 801, 836, 991, 1015, 1020, 1021, 1161, 1162, 1167, 1168, 1191, 1192, 1210, 1231, 1252, 1365, 1410, 1425, 1645, 1783, 1794, 1833, 1967, 1971, 2027, 2166, 2202, 2221, 2223, 2225, 2407, 2435, 2442, 2468]",[0.42800236 0.04296588 0.01542679 ... 0.35550907 0.18528433 0.03339654]
53000588-TC,TC,TEJANO CLARO,BLUE,Female,Adult,SHE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2019_53000588_TC.jpg,"[579, 623, 854, 1846, 7, 633, 1361, 1675]",[0.04616271 1.3117114  0.04773062 ... 0.5358633  0.12257645 1.7233353 ]
53030547-TM,TM,TEJANO MEDIO,BLUE,Female,Adult,SHE,J-JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2019_53030547_TM.jpg,[1146],[0.02136802 0.5265307  0.         ... 1.989829   0.0431014  0.69941   ]
53090804-99,99,NEGRO,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Belts and Ties,Belt,datathon/images/2019_53090804_99.jpg,[2431],[0.3639798  0.08034828 0.32135585 ... 0.5291369  0.05625187 0.92676824]
53023714-99,99,NEGRO,GREY,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53023714_99.jpg,[1065],[0.08078817 2.1826742  0.12284582 ... 1.0806522  0.15683915 0.75957566]
53050881-17,17,CARAMELO,YELLOW,Female,Adult,SHE,T-TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53050881_17.jpg,"[1195, 1606, 1972, 1377]",[0.14919041 1.0576382  0.14169182 ... 1.0519109  0.08527496 0.5840998 ]
53083040-08,08,BEIGE,WHITE,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,datathon/images/2019_53083040_08.jpg,"[2275, 2022]",[0.14223194 2.5817504  0.0202283  ... 1.0006965  0.12683056 0.65212137]
53050906-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_53050906_99.jpg,"[1249, 1612]","[3.2943092e-02 1.1942502e+00 2.9102676e-02 ... 2.0045599e-01 3.6515972e-05
 1.6252460e+00]"
53095015-43,43,VERDE,GREEN,Female,Adult,SHE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53095015_43.jpg,"[2505, 2552]","[3.1321605e-03 4.2598019e+00 4.8317328e-01 ... 8.7562788e-01 1.5938218e-01
 1.3201442e+00]"
53013754-PL,PL,PLATA,GREY,Female,Adult,SHE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Glasses,Glasses,datathon/images/2019_53013754_PL.jpg,[1904],[0.01357268 0.08815247 0.13031974 ... 0.6191729  0.00526951 0.18237138]
51055745-TO,TO,TEJANO OSCURO,BLUE,Female,Adult,SHE,J-JEANS,Tops,Shirts,Shirt,Shirt,datathon/images/2019_51055745_TO.jpg,"[5403, 315, 2336, 798, 6418]",[0.6867538  2.0065928  0.160443   ... 0.53099513 0.13091981 0.5740918 ]
51015766-92,92,GRIS,GREY,Female,Adult,SHE,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_51015766_92.jpg,"[1706, 427, 2070, 3182, 7179, 88, 697, 4658, 1129, 1100, 6130, 2331, 1115, 5308]",[0.05086211 0.631113   0.11099271 ... 0.03229015 0.70126516 1.7274423 ]
57044377-99,99,NEGRO,GREY,Female,Adult,SHE,P-PLANA,Outerwear,Coats and Parkas,Trenchcoats,Trenchcoat,datathon/images/2019_57044377_99.jpg,"[1138, 936, 5227, 893, 1300, 1470, 1935]",[0.0165386  4.8753943  0.39052525 ... 0.49467546 0.36004457 2.4662356 ]
